Datum
2025-06-10 00:00:00.0000000
2025-06-06 00:00:00.0000000
2025-06-03 00:00:00.0000000
2025-05-30 00:00:00.0000000
2025-05-27 00:00:00.0000000
2025-05-23 00:00:00.0000000
2025-05-20 00:00:00.0000000
2025-05-16 00:00:00.0000000
2025-05-13 00:00:00.0000000
2025-05-09 00:00:00.0000000
2025-05-06 00:00:00.0000000
2025-05-02 00:00:00.0000000
2025-04-29 00:00:00.0000000
2025-04-25 00:00:00.0000000
2025-04-22 00:00:00.0000000
2025-04-18 00:00:00.0000000
2025-04-15 00:00:00.0000000
2025-04-11 00:00:00.0000000
2025-04-08 00:00:00.0000000
2025-04-04 00:00:00.0000000
2025-04-01 00:00:00.0000000
2025-03-28 00:00:00.0000000
2025-03-25 00:00:00.0000000
2025-03-21 00:00:00.0000000
2025-03-18 00:00:00.0000000
2025-03-14 00:00:00.0000000
2025-03-11 00:00:00.0000000
2025-03-07 00:00:00.0000000
2025-03-04 00:00:00.0000000
2025-02-28 00:00:00.0000000
2025-02-25 00:00:00.0000000
2025-02-21 00:00:00.0000000
2025-02-18 00:00:00.0000000
2025-02-14 00:00:00.0000000
2025-02-11 00:00:00.0000000
2025-02-07 00:00:00.0000000
2025-02-04 00:00:00.0000000
2025-01-31 00:00:00.0000000
2025-01-28 00:00:00.0000000
2025-01-24 00:00:00.0000000
2025-01-21 00:00:00.0000000
2025-01-17 00:00:00.0000000
2025-01-14 00:00:00.0000000
2025-01-10 00:00:00.0000000
2025-01-07 00:00:00.0000000
2025-01-03 00:00:00.0000000
