Datum;Nummer 1;Nummer 2;Nummer 3;Nummer 4;Nummer 5;Nummer 6;Nummer 7;Nummer 8;Nummer 9;Nummer 10;Nummer 11;Nummer 12;Nummer 13;Nummer 14;Nummer 15;Nummer 16;Nummer 17;Nummer 18;Nummer 19;Nummer 20
2016-12-31;5;15;19;24;25;31;34;37;38;39;40;43;50;51;53;54;56;57;64;69
2016-12-30;1;2;8;12;16;19;21;22;24;27;32;34;37;48;49;52;54;63;66;67
2016-12-29;1;6;7;9;10;11;17;18;33;47;48;54;55;57;58;60;62;66;67;68
2016-12-28;4;5;17;19;24;26;30;32;33;34;35;37;43;49;53;55;59;65;68;69
2016-12-27;3;5;11;17;22;33;36;39;41;47;49;52;54;60;62;64;65;67;68;69
2016-12-26;2;6;7;21;27;30;34;35;38;39;40;42;48;50;53;56;58;62;66;68
2016-12-24;7;18;23;26;27;28;31;32;34;36;39;41;49;51;53;58;60;63;64;65
2016-12-23;3;4;5;9;11;13;14;22;26;27;33;43;48;51;59;64;66;68;69;70
2016-12-22;4;11;16;19;21;22;24;27;29;30;33;35;44;51;52;54;56;61;65;70
2016-12-21;1;5;9;16;17;22;24;32;36;39;41;42;43;48;49;50;52;53;55;64
2016-12-20;4;5;9;12;16;17;19;24;27;29;30;32;35;40;49;50;57;59;67;68
2016-12-19;7;12;15;16;18;19;24;28;31;34;37;43;46;49;52;56;59;60;67;69
2016-12-17;1;2;6;7;9;14;17;24;25;27;28;32;40;41;42;47;49;53;58;59
2016-12-16;1;2;5;6;13;15;16;17;20;24;33;35;39;42;43;46;52;56;57;64
2016-12-15;1;4;8;11;16;18;21;27;31;35;37;42;43;45;46;48;51;52;58;61
2016-12-14;4;5;9;11;13;15;20;21;22;32;34;39;42;43;44;48;51;54;56;70
2016-12-13;3;5;6;13;17;23;24;30;31;33;37;43;50;52;60;61;62;64;66;70
2016-12-12;3;4;5;10;12;15;18;22;24;25;33;40;45;49;53;55;59;61;62;69
2016-12-10;2;3;6;8;9;14;22;24;25;26;28;34;38;49;51;54;60;62;65;70
2016-12-09;3;6;8;9;13;15;16;21;31;33;40;43;46;47;48;50;53;55;62;65
2016-12-08;3;5;6;16;24;25;26;32;33;35;41;42;45;46;47;48;50;57;65;67
2016-12-07;1;4;8;11;19;23;28;30;34;36;39;40;43;45;48;52;62;63;64;67
2016-12-06;4;8;9;12;18;19;21;26;28;34;38;39;50;51;54;58;59;66;68;69
2016-12-05;1;2;10;11;16;17;18;22;23;25;32;36;40;53;55;58;60;61;64;66
2016-12-03;1;2;4;5;6;21;23;27;28;30;33;35;36;49;56;60;64;65;67;68
2016-12-02;1;2;3;8;12;14;16;19;22;26;27;31;36;42;43;46;49;63;64;65
2016-12-01;11;16;18;31;32;33;36;37;45;47;48;49;50;51;53;55;61;62;69;70
2016-11-30;1;3;5;6;16;17;28;30;33;40;45;50;53;54;55;56;57;59;60;67
2016-11-29;1;2;3;6;13;21;22;23;30;33;39;42;51;53;55;59;61;63;65;66
2016-11-28;1;9;11;13;17;20;23;30;31;32;33;41;46;51;53;54;58;59;66;68
2016-11-26;3;4;5;7;10;11;12;15;16;17;19;21;31;36;37;46;51;53;61;62
2016-11-25;4;5;18;20;22;28;31;32;33;36;37;44;45;51;61;63;64;66;67;70
2016-11-24;4;7;10;12;14;16;23;24;30;31;38;41;42;45;46;51;58;61;65;68
2016-11-23;1;6;8;10;13;14;15;21;28;32;35;36;37;38;42;43;53;54;57;69
2016-11-22;3;4;5;6;7;12;15;20;24;29;35;36;39;53;54;55;60;62;67;70
2016-11-21;3;5;7;8;9;11;16;19;24;25;37;39;40;50;53;54;59;61;62;63
2016-11-19;7;9;17;18;20;25;27;28;34;35;36;38;42;45;46;54;63;68;69;70
2016-11-18;1;4;8;9;10;12;14;15;17;19;20;23;27;35;43;59;61;63;65;68
2016-11-17;1;5;6;7;13;16;21;25;34;35;43;44;45;47;55;57;59;64;66;68
2016-11-16;2;4;10;15;18;22;25;32;33;35;36;40;45;46;52;54;56;60;65;69
2016-11-15;6;9;20;23;27;29;30;32;34;35;38;44;51;52;54;57;64;65;66;69
2016-11-14;4;15;18;21;22;26;27;33;37;39;42;43;44;45;49;51;60;62;63;68
