Datum;Nummer 1;Nummer 2;Nummer 3;Nummer 4;Nummer 5;Nummer 6;Nummer 7;Nummer 8;Nummer 9;Nummer 10;Nummer 11;Nummer 12;Nummer 13;Nummer 14;Nummer 15;Nummer 16;Nummer 17;Nummer 18;Nummer 19;Nummer 20
2018-12-31;1;5;6;8;11;16;17;26;27;32;35;37;43;44;49;52;56;57;59;66
2018-12-30;1;7;9;10;15;17;20;24;30;31;32;34;35;50;54;56;58;67;69;70
2018-12-29;1;2;3;9;10;15;16;25;34;38;39;40;42;49;55;56;62;66;69;70
2018-12-28;1;4;6;8;16;24;25;26;28;35;36;37;40;41;42;51;56;60;64;66
2018-12-27;12;13;15;23;24;26;27;38;39;40;41;47;48;49;54;55;57;58;59;61
2018-12-26;1;3;6;9;11;14;16;29;32;35;36;43;44;50;53;54;55;58;59;67
2018-12-25;5;13;15;19;25;27;32;34;35;37;39;41;42;47;49;58;60;65;67;70
2018-12-24;1;11;22;24;27;30;31;33;34;36;38;44;49;51;53;55;57;66;67;68
2018-12-23;1;9;12;13;16;18;19;30;32;34;40;46;47;48;55;58;63;66;67;69
2018-12-22;1;11;12;15;16;21;26;27;29;30;34;36;41;51;53;59;60;61;68;69
2018-12-21;3;6;12;19;26;28;30;31;32;33;38;42;45;51;58;59;60;63;65;70
2018-12-20;8;9;14;18;21;23;25;30;34;35;36;37;47;49;51;55;61;63;65;70
2018-12-19;7;11;13;17;23;25;30;31;35;36;39;44;45;52;60;63;64;65;67;69
2018-12-18;1;2;11;17;19;20;22;26;37;40;41;47;49;51;56;58;60;61;64;68
2018-12-17;6;7;11;21;24;25;26;28;31;32;35;37;39;40;41;42;57;60;63;64
2018-12-16;1;3;10;14;16;19;22;23;29;32;33;34;41;45;51;54;56;57;58;70
2018-12-15;2;5;9;11;17;19;21;22;23;27;35;38;44;48;49;54;58;59;61;70
2018-12-14;4;8;17;19;26;31;33;37;41;46;47;50;53;54;61;62;63;65;66;68
2018-12-13;2;5;10;11;12;14;15;19;20;33;36;37;38;40;41;43;54;56;58;66
2018-12-12;2;5;6;7;10;14;21;28;33;37;40;43;47;49;52;53;56;63;67;68
2018-12-11;6;9;10;14;15;16;20;23;32;33;34;38;40;48;49;50;53;56;59;70
2018-12-10;10;12;13;14;17;18;19;30;36;38;49;53;54;58;59;62;63;64;65;69
2018-12-09;2;7;8;10;15;17;27;29;35;40;42;45;53;54;56;63;64;66;67;69
